val_loss	val_acc	train_loss	train_acc
0.26784323189941306	0.89056875449964	0.2857680545232564	0.8754723771819326
0.22830000505219444	0.9035277177825773	0.27302303353092794	0.8909483534281086
0.22013600940210645	0.9085673146148308	0.26135891831847585	0.8959870433687241
0.3218325335140856	0.8617710583153347	0.25471798798712253	0.8918481194889328
0.2488123717147232	0.9100071994240461	0.24987475613401275	0.8999460140363506
0.22704842581384854	0.912167026637869	0.23867416184292314	0.907144142522944
0.24374787421471958	0.912167026637869	0.23450436693769897	0.9022854057944933
0.17990623888860693	0.9287257019438444	0.17033670749159158	0.9310779197408673
0.1887364136221689	0.923686105111591	0.1521174870074866	0.9389958610761202
0.15963073506803152	0.9287257019438444	0.15125128830264803	0.9388159078639553
