val_loss	val_acc	train_loss	train_acc
0.3597882104604428	0.86321094312455	0.34557237749540864	0.8635954651790534
0.32110706171794623	0.8581713462922966	0.34020632313969495	0.8707935936656469
0.3211339243886827	0.8588912886969042	0.3300317827426467	0.8657549037250315
0.3275875999873857	0.8660907127429806	0.3154461810833578	0.8743926579089436
0.3590334930817233	0.8538516918646508	0.30271620642938846	0.8787115350008997
0.30861513002837965	0.8732901367890569	0.293695415342178	0.8862695699118229
0.30494399723322635	0.8761699064074874	0.2912586358056077	0.8846499910023393
0.24095844900164462	0.9056875449964003	0.21822995652185057	0.912722692100054
0.2352580519499025	0.9049676025917927	0.19842379989760459	0.920460680223142
0.23390572500409113	0.9085673146148308	0.18966559750823694	0.9254993701637574
